project_code,project_name,mda_name,project_status,location,amount,expenditure_code
ERGP30169839,DEVELOPMENT OF RAW MATERIALS FOR PRODUCTION OF NANO-BASED CONSUMER AND HEALTH CARE PRODUCTS AGAINST CORONA VIRUS USING INDIGENEOUS TECHNOLOGIES,,ONGOING,,23625000.0,
ERGP30173264,"SURVEILLANCE AND POPULATION SUPPRESSION OF TSETSE FLIES IN GRAZING RESERVES, NATIONAL PARKS AND GAME RESERVES ACROSS NIGERIA",,ONGOING,,4900000.0,
ERGP10239097,SUPPLY OF SOLAR STREET LIGHT IN SELECTED COMMUNITIES VILLAGES AND TOWNS OYO STATE,,ONGOING,Oyo,,
ERGP23239107,"RENOVATION OF PUBLIC SCHOOLS IN ABIA SOUTH SENATORIAL DISTRICT, ABIA STATEONGOING          140,000,000",,,Abia,140000000.0,
ERGP30226174,PROCUREMENT OF OFFICE FURNITRUE FOR THE OFFICES IN FEDERAL INSTITUTE OF INDUSTRIAL RESEARCH OSHODI,,ONGOING,,70000000.0,
ERGP30227437,PRODUCTION OF ETHANOL FROM CASSAVA EFFLUENT(WASTE) AT FIIRO ZONAL OFFICE ENUGU,,,Enugu,,
ERGP30227674,CONVERSION OF DIESEL/PETROL GENERATOR TO COMPRESSED NATURAL GAS AT LANGTANG ZONAL OFFCIE OF FIIRO NORTH CENTRAL ZONE,,ONGOING,,70000000.0,
ERGP23156479,DEVELOPMENT OF ENTREPRENEURSHIP WORKSHOPS FOR LEATHER PRODUCTS PRODUCTION IN KWARA STATE,,ONGOING,Kwara,28000000.0,
ERGP23238847,"PROVISION OF SCHOOL FURNITURE IN FASKARI/KANKARA/SABUWA FEDERAL CONSTITUENCY, KASTINA STATE",,ONGOING,,35000000.0,
ERGP30179048,PROPOSED DEVELOPMENT OF MULTIPURPOSE HALL AT SOUTH EAST CENTRE,,ONGOING,,7000000.0,
ERGP30238844,"TRAINING FOR WOMEN AND YOUTH IN BODINGA LGA, BODINGA/DANGE SHUNI/TURETA FEDERAL CONSTITUENCY. SOKOTO STATE",,ONGOING,Sokoto,140000000.0,
ERGP10237597,PROVISION AND INSTALLATION OF SOLAR STREET LIGHTS IN SOME SELECTED COMMUNITIES AND RURAL ROADS IN NORTH CENTRAL (MULTIPLE LOTS),,ONGOING,,840000000.0,
ERGP10237682,"INSTALLATION OF SOLAR MINI GRIDS AND THREE IN ONE SOAR STREET LIGHTS IN SELECTED HEALTH CARE CENTRES IN ZAMFARA, KEBBI AND SOKOTO STATES",,ONGOING,"Zamfara, Kebbi, Sokoto",1050000000.0,
ERGP10237766,"CONSTRUCTION OF SOLAR MINI GRID AND RURAL ELECTRIFICATION IN SOME SELECTED COMMUNITIES IN BALANGA/BILLIRI FEDERAL CONSTITUENCY, GOMBE STATE",,ONGOING,Gombe,350000000.0,
ERGP10237895,"PROVISION OF SOLAR STREET LIGHT TO GWAKO NORMADIC SETTLEMENT FOR PROVISION OF SECURITY ILLUMINATION, FCT",,ONGOING,Fct,49000000.0,
ERGP10238039,"PROVISION AND INSTALLATION OF SOLAR STREET LIGHTS IN VARIOUS WARDS IN DALAONGOING            700,000,000 FEDERAL CONSTITUENCY, KANO STATE",,,Kano,700000000.0,
ERGP10238152,"PROCUREMENT AND INSTALLATION OF SOLAR STREET LIGHT IN SOME COMMUNITIES IN AJAOKUTA FEDERAL CONSTITUENCY, KOGI STATE",,ONGOING,Kogi,140000000.0,
ERGP10238334,"SOLAR POWERED STREET LIGHT, IGABI FEDERAL CONSTITUENCY, KADUNA STATE",,ONGOING,Kaduna,140000000.0,
ERGP10238393,"PROVISION OF SOLAR LIGHT TO VARIOUS LOCATIONS IN SOKOTO NORTH AND SOUTH FEDERAL CONSTITUENCY, SOKOTO STATE",,ONGOING,Sokoto,140000000.0,
ERGP10238469,"SUPPLY & INSTALLATION OF SOLAR STREET LIGHTS ACROSS RINGIM/TAURA FEDERALONGOING             140,000,000 CONSTITUENCY, JIGAWA STATE",,,Jigawa,140000000.0,
ERGP10238552,"CONSTRUCTION OF TWO (2) SOLAR MINI GRIDS IN IGBO-EZE NORTH/UDENU FEDERAL CONSTITUENCY, ENUGU STATE.",,ONGOING,Enugu,140000000.0,
ERGP10238597,PROVISION OF SOLAR STREETLIGHTS IN OVIA NORTH EAST/ SOUTH-WEST EDO STATE,,ONGOING,Edo,210000000.0,
ERGP10238636,"INSTALLATION OF ALL IN ONE SOLAR STREET LIGHT IN VARIOUS LOCATIONS IN AKOKO NORTH EAST/ AKOKO NORTH WEST FEDERAL CONSTITUENCY, ONDO STATE.",,ONGOING,Ondo,175000000.0,
ERGP10238721,PROVISION AND INSTALLATION OF TOP RANGE ALL IN ONE SOLAR STREET LIGHTS IN SOME COMMUNITIES IN IDEMILI NORTH/ SOUTH FEDERAL CONSTITUENCY,,ONGOING,,56000000.0,
ERGP10238754,"PROVISION OF RURAL ELECTRIFICATION IN IKORODU, EPE AND IBEJU LEKKI COMMUNITIES IN LAGOS EAST SENATORIAL DISTRICT",,ONGOING,Lagos,280000000.0,
ERGP10238786,"CONSTRCTION OF INTEGRATED SOLAR STREETLIGHTS IN SELECTED COMMUNITIES OSISIOMA NGWA LGA, ABIA STATE",,ONGOING,Abia,70000000.0,
ERGP12237676,CONSTRUCTION OF RURAL ACCESS ROADS WITH ASPHALT ACROSS VARIOUS PUBLIC INSTITUTIONS IN THE NORTH WEST,,ONGOING,,2415000000.0,
ERGP30205547,RESEARCH AND DEVELOPMENT OF INTEGRATED WIND AND SOLAR ENERGY HARVESTING FOR RURAL ELECTRIFICATION IN NIGERIA,,ONGOING,,210000000.0,
ERGP30225381,NATIONAL WORKSHOP ON PETROLEUM POTENTIALS OF THE NORTHERN BENUE TROUGH AND OTHER INLAND BASINS,,ONGOING,Benue,8527747.0,
ERGP30227374,COLLABORATIONS ON BUILDING THE CAPACITY OF OFF-GRID ENERGY MANAGERS FOR LASTING IMPACT & SUSTAINABLE GROWTH.,,,,,
ERGP30227942,CONSTRUCTION OF RENEWABLE ENERGY DEVICES IN NORTH WEST GEOPOLITICAL ZONE,,ONGOING,,21779085.0,
ERGP12192955,DEVELOPMENT AND IMPLEMENTATION OF NATIONAL POLICY FRAMEWORK FOR MASS TRANSIT SCHEME IN NIGERIA,,ONGOING,,21000000.0,
ERGP15138335,"ENGINEERING QUALITY CONTROL, INSPECTION OF COMPLIANCE WITH ENGINEERING STANDARD OF RAIL, ROAD AND INFRASTRUCTURE PROJECTS",,ONGOING,,56000000.0,
ERGP27102803,"ADDITIONAL EXTERNAL WORKS AT NATIONAL FREIGHT OFFICES (NFOs), JIBIYA KATSINA STATE AND IDI-IROKO OGUN STATE",,ONGOING,"Katsina, Ogun",35000000.0,
ERGP30186607,COORDINATION OF PHYSICAL VERIFICATION OF STAFF OF THE AGENCIES UNDER THE MINISTRY BY HRM AND BUDGET DIVISION OF THE MINISTRY,,ONGOING,,11900000.0,
ERGP30227701,COORDINATION OF FEDERAL AUDIT INSPECTION AND MONITORING OF REVENUE GENERATION AND REMITTANCE BY THE MINISTRY ITS AGENCIES,,ONGOING,,28000000.0,
ERGP10239660,PURCHASE OF SOLAR-POWERED PUMPS FOR IRRIGATION FOR THE PEOPLE OF ALIERO,,,,,
ERGP12239396,ONGOING CONSTRUCTION OF DANTATA ROAD SAINT LOUIS ROAD IN KANO CENTRAL SENATORIAL DISTRICT.,,ONGOING,Kano,210000000.0,
ERGP25215229,SUPPLY OF SPECIALISED MEDICAL EQUIPMENT TO SELECTED PRIMARY HEALTH CENTRES IN COMMUNITIES IN THE NORTH EAST ZONE OF THE FEDERATION,,ONGOING,,700140000.0,
ERGP27239377,"FABRICATION, FENCING & EQUIPPING OF ULTRA MODERN TOWN HALLS IN SELECTED SCHOOLS OF SOUTHERN STATES (LOT 1-3)",,ONGOING,,1050000000.0,
ERGP28239773,"CONSTRUCTION OF SOLAR POWERED BOREHOLES FOR THE PEOPLE OF BIRNIN KEBBIONGOING                63,000,000",,,,63000000.0,
ERGP30233201,HUMAN CAPITAL DEVELOPMENT FOR REVENUE GENERATION ENHANCEMENT Budget Office of the Federation          Page 1072 / 2790                                          2026 FGN BUDGET,,ONGOING,,52500000.0,
ERGP31141285,RENOVATION OF HAJJ TERMINAL BUILDING AT KATSINA AIRPORT AND EQUIPMENT (ADDITIONAL WORK),,ONGOING,Katsina,175000000.0,
ERGP31143911,CONSTRUCTION OF NEW CIVIL TERMINAL BUILDING AND NEW APRON EXPANSION AT KATSINA AIRPORT,,ONGOING,Katsina,70000000.0,
ERGP31153904,CONSTRUCTION OF CLINIC FOR THE 4 MAJOR INTERNATIONAL AIRPORT,,ONGOING,,7000000.0,
ERGP31168773,PURCHASE OF OFFICE EQUIPMENT AND GENERAL SERVICE,,ONGOING,,200000000.0,
ERGP31195152,"PROCUREMENT ,INSTALLATION AND COMMISSIONING OF HIGH- POWER VOICE/DATA HIGH FREQUENCY TRANSCEIVER FOR KANO AND LAGOS (NAMA)",,ONGOING,"Kano, Lagos",500000000.0,
ERGP31223860,"DEVELOPMENT OF ANKA AIRSTRIP, ZAMFARA STATE",,ONGOING,Zamfara,50000000.0,
ERGP31194597,"REMODELLING OF ACCIDENT INVESTIGATION BUREAU (AIB) ANNEX BUILDING IN ABUJAONGOING         7,000,000,000",,,,7000000000.0,
ERGP31201560,FUNDS FOR ACCIDENT INVESTIGATION,,ONGOING,,700000000.0,
ERGP10175697,LEGACY DEBTS OWED TO LOCAL CONTRACTORS,,ONGOING,,353034886.0,
ERGP10193639,"CONSULTANCY SERVICIES FOR IDENTIFICATION OF SITES FOR DEVELOPMENT OF GASONGOING             49,165,029 POWER PLANTS ALONG THE AKK GAS PIPE LINE",,,,49165029.0,
ERGP10208062,"CONSTRUCTION OF 8KM LINE AND UPGRADEING OF 2.5MVA TO 7.5MVA SUBSTATION INCLUDING CONSTRUCTION OF 5KM 11KV LINE AND SUPPLY AND INSTALLATION OF 13 NOS 500KVA TRANSFORMER IN ILE-OLUJI, BAMIKEMO, ODIGBO T",,ONGOING,,35000000.0,
ERGP10208611,CONSULTANCY SERVICES FOR THE DETAILED STUDIES FOR THE CONSTRUCTION OF OF KAT02 182MW,,,,,
ERGP10231699,CONSULTANCY SERVICES FOR SELECTED HYDRO ELECTRIC DAMS IN OYO STATE,,ONGOING,Oyo,350000000.0,
ERGP10231719,"1MW ALTERNATIVE SOLAR PV POWER SUPPLY IN FEDERAL UNIVERSITY, DUTSIM-MA KATSINA STATE",,ONGOING,Katsina,175000000.0,
ERGP10231815,GRID EXTENTION WORK IN SELECTED LOCATIONS IN OYO STATE,,ONGOING,Oyo,245000000.0,
ERGP10241562,SUPPLY AND INSTALLATION OF TRANSFORMERS IN KANO NORTH SENATORIAL DISTRICT.,,ONGOING,Kano,280000000.0,
ERGP10241586,SUPPLY OF TRANSFORMERS FOR GOMBE CENTRAL SENATORIAL DISTRCT,,ONGOING,Gombe,140000000.0,
ERGP10241640,PROVISION OF SOLAR STREET LIGHTS IN SOME SELECTED COMMUNITIES IN BENUE NORTH EAST SENATORIAL DISTRICT.,,ONGOING,Benue,70000000.0,
ERGP10241710,"PURCHASE AND INSTALLATION OF 300KVA TRANSFORMERS IN SELECTED COMMUNITIES IN ENUGU EAST SENATORIAL DISTRICT, ENUGU STATE.",,ONGOING,Enugu,35000000.0,
ERGP10241846,CONSTRUCTION OF MINI SOLAR GRID IN NURSING SCHOOL/HOSPITAL IN IKENNE OGUN STATE,,ONGOING,Ogun,210000000.0,
ERGP10242043,"PROVISION OF TRANSFORMERS TO UNSERVED COMMUNITIES OF ANIOCHA/OSHIMILI FEDERAL CONSTITUENCY, DELTA STATE",,ONGOING,Delta,49000000.0,
ERGP10242094,"PROVISION AND INSTALLATION OF 2NOS 300KVA TRANSFORMERS IN GEZAWA/GABASAWA FEDERAL CONSTITUENCY, KANO STATE",,ONGOING,Kano,35000000.0,
ERGP10242204,DISTRIBUTION OF SOLAR HOMES SYSTEM AND RURAL STREET LIGHTING IN GUSAU/TSAFE FEDERAL CONSTITUENCY,,ONGOING,,56000000.0,
ERGP10242258,"PROVISION AND INSTALLATION OF 300KVA TRANSFORMER AT ESAN NORTH EAST/EAST SOUTH EAST FEDERAL CONSTITUENCY, EDO STATE THE KASHIMBILLA POWER PLANT IN TARABA STATE CONJUNCTION WITH BOF TO DETERMINE THE ON",,ONGOING,Edo,56000000.0,
ERGP10228298,PROVISION OF SOLAR STREETLIGHTS IN IKENNE LGA OF OGUN STATE,,ONGOING,Ogun,35000000.0,
ERGP10228379,ELECTRIFICATION OF ONIFADE COMMUNITIES IN OYO STATE,,ONGOING,Oyo,70000000.0,
ERGP10228447,PROVISION OF SOLAR MINI GRID FOR FARMERS WITHIN SELECTED COMMUNITIES IN OYO STATE,,ONGOING,Oyo,350000000.0,
ERGP10228662,REHABILITATION/CONSTRUCTION AND COMPLETION OF ON-GOING RURAL ELECTRIFICATION SCHEME IN DELTA STATE,,ONGOING,Delta,35000000.0,
ERGP10228742,"PROVISION OF SOLAR STREET LIGHT IN NAKWANG AND ZANDI COMMUNITIES IN JOS - EAST, PLATEAU STATE",,ONGOING,Plateau,21000000.0,
ERGP10228801,PROVISION OF SOLAR STREET LIGHTS IN SHARA COMMUNITY,,ONGOING,,21000000.0,
ERGP10228869,"PROVISION AND INSTALLATION OF SOLAR STREET LIGHT IN SOME COMMUNITIES IN BENUE STATE (IKOBI, UGBOBI)",,ONGOING,Benue,21000000.0,
ERGP10228946,"PROVISION OF TRANSFORMERS AND INSTALLATION OF SOLAR STREET LIGHTS FOR UNDERPRIVELLEDGE COMMUNITIES IN DAWAKIN TOFA AND ENVIRONS , IN KANO STATE",,ONGOING,Kano,350000000.0,
ERGP10229005,"PROVISION AND INSTALLATION OF AIO SSL IN ISSELE UKU, ANIOCHA NORTH LGA OF DELTA STATE",,ONGOING,Delta,21000000.0,
ERGP10229079,PROVISION AND INSTALLATION OF AIO SSL TARABA SOUTH AND ENVIRONS Budget Office of the Federation            Page 1107 / 2790                                             2026 FGN BUDGET,,ONGOING,Taraba,210000000.0,
ERGP10229138,DEPLOYMENT OF MINI GRIDS FOR THE DEVELOPMENT OF SMART COMMUNITIES IN SOUTH EAST,,ONGOING,,315000000.0,
ERGP10229192,PROVISION OF SOLAR STREET LIGHTS IN PUBLIC INSTITUTIONS IN SOUTH EAST,,ONGOING,,315000000.0,
ERGP10229239,"ELECTRIFICATION OF WAILARI KASUWAR NENE, NAIBAWA YANLEMO KUMBOTSO LGA KANO STATE",,ONGOING,Kano,21000000.0,
ERGP10229295,"PROVISION AND INSTALLATION OF SOME SOLAR STREET LIGHTS IN MBAITOLI IKEDURUONGOING            21,000,000 IN IMO STATE",,,Imo,21000000.0,
ERGP10229352,PROVISION OF SOLAR HOME SYSTEM AS ENERGY FOR ECONOMIC DEVELOPMENT IN SOUTH EAST,,ONGOING,,315000000.0,
ERGP10229393,"PROVISION AND INSTALLATION OF SOLAR STREETLIGHTS IN IKEDURU, IMO STATE",,ONGOING,Imo,21000000.0,
ERGP10229419,"PROVISION AND INSTALLATION OF SOLAR STREET LIGHT AT DAWAKI, STATE LOW- COST AND ENVIRONS IN GOMBE STATE.",,ONGOING,Gombe,70000000.0,
ERGP10242713,"PROVISION AND DISTRIBUTION OF NETWORK/METERING IN GEMBU, SARDAUNA LGA TARABA STATE.",,ONGOING,Taraba,210000000.0,
ERGP10242853,INSTALLATION OF SOLAR MINI GRIDS IN BUNGUDU/MARU FEDERAL CONSTITUENCY ZAMFARA STATE,,ONGOING,Zamfara,350000000.0,
ERGP10242968,"PROVISION AND INSTALLATION OF SOLAR STREET LIGHTS IN SABUWA IN KATSINA SOUTH SENATORIAL DISTRICT, KATSINA STATE",,ONGOING,Katsina,70000000.0,
ERGP10243279,"PROCUREMENT AND INSTALLATION OF ALL IN ONE SOLAR STREET LIGHTS IN ALOR AND UFUMA, UGA, AWGBU, AFOR IBEKU ROAD AT OKWUATO ABOH AND SELECTED COMMUNITIES IN ANAMBRA STATE.",,ONGOING,Anambra,10500000.0,
ERGP10243489,"PROVISION AND INSTALLATION OF ALL IN ONE SOLAR STREETS LIGHT AT NWEZENYI/NKALEKE IGBEAGU, IZZI LGA, EBONYI STATE.",,ONGOING,Ebonyi,7000000.0,
ERGP10243551,"PROVISION OF SOLAR STREET LIGHTS TO SELECTED COMMUNITIES IN TARABA SOUTHONGOING              175,000,000 SENATORIAL DISTRICT, TARABA STATE.",,,Taraba,175000000.0,
ERGP10243674,COMPLETION OF THE RURAL ELECTRIFICATION PROJECT BY PROVIDING ESTIMATED COMMUNITY IN ABEOKUTA NORTH LOCAL GOVERNMENT Budget Office of the Federation            Page 1113 / 2790                         ,,ONGOING,,350000000.0,
ERGP10204535,ESTABLISHMENT OF NATIONAL METER TEST STATION IN NORTH-EAST GEO-POLITICAL ZONE,,ONGOING,,70000000.0,
ERGP10242606,SUPPLY/INSTALLATION OF SOLAR STREET LIGHTS WITH HIGH BREED LUMEN/(150 WATTS) LED LIGHTS IN UGWUNAGBO LGA OF ABIA SOUTH SENATORIAL DISTRICT OF ABIA STATE,,ONGOING,Abia,140000000.0,
ERGP10242722,CONSTRUCTION AND INSTALLATION OF SOLAR STREET LIGHTS FOR SOME SELECTED LGA's IN SOKOTO EAST SENATORIAL DISTRICT,,ONGOING,Sokoto,140000000.0,
ERGP29242767,"TRAINING AND EMPOWERMENT OF YOUTH ON ICT BASIC KNOWLEDGE IN ABEOKUTA SOUTH, ABEOKUTA NORTH, ODEDA, EWEKORO, OBAFEMI OWODE AND IFO LOCAL GOVT., OGUN STATE.",,ONGOING,Ogun,105000000.0,
ERGP29137932,MPR COMMUNICATION AND PUBLICITY MANAGEMENT,,ONGOING,,5776400.0,
ERGP30235802,"GEOLOGICAL INVESTIGATION AND MINERAL INVENTORY OF BAMA/NGALA/KALA BAIGE FEDERAL CONSTITUENCY, BORNO STATE",,ONGOING,Borno,105105683.0,
ERGP12153951,"COMPLETION OF REMAINING SECTIONS OF PREVIOUS CONTRACT OF GITTO ( CH131+362- CH179+792) DUALIZED SECTION IV ON ABUJA- LOKOJA ROAD, REMANING SECTION TO COMPLETION CH131+36-CH142+862-11.5KMX2 +CH144+762-",,ONGOING,Abuja,4900000000.0,
ERGP12154137,COMPLETION OF PHASE II OF UTOR BRIDGE PROJECT (2.6KM SPUR TO IKEKEN IN DELTA STATE,,,Delta,,
ERGP12154266,DUALIZATION OF ILORIN-JEBBA-MOKWA/BOKANI JUNCTION ROAD SECTION II: JEBBA- MOKWA-BOKANI JUNCTION IN KWARA AND NIGER STATES C/NO.6469,,ONGOING,"Kwara, Niger",14000000.0,
ERGP12154452,REHABILITATION OF KATSINA ALA BRIDGE (TOTAL REHABILITATION OF THE BRIDGE) BENUE STATE,,ONGOING,Katsina,280000000.0,
ERGP12154694,REHABILITATION OF OBA â NNEWI ROAD SECTION IN ANAMBRA STATE,,ONGOING,Anambra,700000000.0,
ERGP12159802,"DUALIZATIONOF MICHAEL IMODU GANMO/AFON JUNCTION ROAD ILORIN, KWARA STATE",,ONGOING,Kwara,700000000.0,
ERGP12168668,"SPECIALIZED ASSESSMENT AND MANDATORY CAPITAL BUDGET MONITORING AND EVALUATION TO ASCERTAIN IMPLEMENTATION OF PROJECTS FOR WORKS AND HOUSING SECTORS OF THE MINISTRY WITH FMF,B&NP (BOF)",,ONGOING,,52500000.0,
ERGP12173976,CONSTRUCTION OF UKANA AKPAUTONG/IKET NTUEU ROAD C/NO.6764,,ONGOING,,700000000.0,
ERGP12189215,INSTITUTIONALISATION OF ANTI-CURRUPTION AND TRANSPARENCY UNITS FOR OFFICERS IN STATES OFFICES,,ONGOING,,5950000.0,
ERGP12208076,SERVICING OF FIRE EXTINGUISHERS IN BLOCK A,,ONGOING,,7000000.0,
ERGP12208683,REHABILITATION OF MINNA-ZUNGERU-TEGINA-KOTANGORA ROAD IN NIGER STATE SECTION II: TEGINA-KOTANGORA (Km 94+987-km187+282),,ONGOING,Niger,14000000.0,
ERGP12208702,"PROVISION OF SOLAR STREET LIGHTS/ ELECTRICITY SUPPLY TO HIGHWAYS, SOLAR STUDS LIGHTS AND TRAFFIC WARNING SIGNALS IN SOUTH WEST ZONE",,ONGOING,,14000000.0,
ERGP12209087,"REHABILITATION AND CONSTRUCTION OF UBIAJA-AHIA ROAD WITH THREE SPURS, IN EDO STATE",,ONGOING,Edo,700000000.0,
ERGP12209394,REHABILITATION OF ABEOKUTA - IBORO/ILARO ROADS IN OGUN STATE,,ONGOING,Ogun,2100000000.0,
ERGP12210046,COMPREHENSIVE REPAIRS OF LOOPS & RAMPS CONNECTING 3RD MAINLAND BRIDGE INCLUDING DAMAGED ELEMENTS OF THE BRIDGE SUPERSTRUCTURE IN LAGOS STATE,,ONGOING,Lagos,2100000000.0,
ERGP12210146,CENTRAL DELIVERY AND COORDINATION UNIT (CDCU) SPOT CHECKS ON DELIVERABLES,,ONGOING,,17668000.0,
ERGP12212032,"CONSTRUCTION OF A STANDARD 4 SPANS OF 20M EACH BRIDGE AT KM18+200 ALONG LANGTANG-WASE ROAD, PLATEAU STATE",,ONGOING,Plateau,280000000.0,
ERGP12231242,REHABILITATION OF FAILED SECTIONS OF BAUCHI - JIGAWA STATE BORDER ROAD,,ONGOING,"Bauchi, Jigawa",10500000000.0,
ERGP12231270,CONSTRUCTION OF ILLARA - ISELU ROAD,,ONGOING,,9800000000.0,
ERGP12231322,RECONSTRUCTION OF NEW NDEBIJI BRIDGE (CH 91+600) ALONG CALABAR - OBAN - EKANG ROAD IN CROSS RIVER STATE ( PHASE 2),,ONGOING,Cross River,700000000.0,
ERGP12231522,"CONSTRUCTION OF YAKASAI-BADUME -MARKEN ZALLI ROAD IN KANO STATE, C/NO",,ONGOING,Kano,2800000000.0,
ERGP12231829,EMERGENCY REPAIRS OF ADO - AFE - BABAOLA UNIVERSITY - IJAN - ILUOMOBA - IMESI - ONDO STATE BORDER ROAD PHASE II (CH. 10+000 - CH.31+550),,ONGOING,Ondo,70000000.0,
ERGP12231846,"EMERGENCY REPAIRS OF PRINCE SOLA ARODOYE STREET, AMUWA LANE AND AMOSUONGOING                     70,000,000 STREET LINKING LAGOS - ABEOKUTA EXPRESSWAY IN IFAKO - IJAIYE LGA, LAGOS STATE (865M LENGTH, ",,,Lagos,70000000.0,
ERGP12231863,LIMITED REHABILITATION OF UGWUELE - SETRACO ROAD IN UTURU - ISIKWUATO LGA ABIA STATE CH. 0+00-CH2+000 LENGTH OF ROAD IS 9.3KM,,ONGOING,Abia,70000000.0,
ERGP12231881,"CONSTRUCTION OF AMATA - UMMEHI ROAD, UZOAGBA IN IMO STATE",,ONGOING,Imo,70000000.0,
ERGP12231898,LIMITED REHABILITATION OF ZANGO ROAD TUDN WADA - ANGUWAN SANUSI ROAD SPUR TO KADUNA WESTERN BYPASS IN KADUNA STATE CH 0+000 - CH 5+000 Budget Office of the Federation              Page 1175 / 2790    ,,ONGOING,Kaduna,70000000.0,
ERGP12231915,"REPAIRS OF LAMIDO ROAD, NASARAWA, KANO STATE",,ONGOING,Kano,70000000.0,
ERGP12231932,EMERGENCY REPAIRS OF DAZA-KAURAN NAMODA ROAD IN ZAMFARA STATE CH,,ONGOING,Zamfara,70000000.0,
ERGP12231949,EMERGENCY REPAIRS OF JOS - GIMI ROAD (PHASE II) IN PLATEAU STATE CH.6+000 -,,ONGOING,Plateau,70000000.0,
ERGP12231966,"SPECIAL INTERVENTION ON MARAMA - KIDNG ROAD, HAWUL, BORNO STATE",,ONGOING,Borno,70000000.0,
ERGP12231983,REHABILITATION OF CALABAR - OBAM - EKANG ROAD CH.60+000 - CH. 62+200 IN CROSS RIVER STATE,,ONGOING,Cross River,70000000.0,
ERGP12232004,RECONSTRUCTION OF ACCESS ROAD TO NIGERIA NAVY FORWARD OPERATIG BASE IBAKA IN AKWA IBOM STATE CH 0+000 - 2+000,,ONGOING,Akwa Ibom,70000000.0,
ERGP12232032,"CONSTRUCTION OF 1.8KM ROAD IN AKPO-VIEJE ROAD, OKWAGBE W/S, UGHELLI SOUTH LGA, DELTA STATE",,ONGOING,Delta,70000000.0,
ERGP12232086,"PROVISION, INSTALLATION AND MAINTENANCE OF LIFT AT ENGINEERING BLOCK AT MABUSHI HEADQUARTERS (ESLS)",,ONGOING,,42000000.0,
ERGP12232142,"PROVISION OF FIRE SUPRESSION SYSTEM, FIRE BALLS AND MAINTENANCE OF FIRE FIGHTING EQUIPMENT",,ONGOING,,105000000.0,
ERGP12232787,"COLLABORATION WITH RENOWED INDEPENDENT LABORATORIES SUCH AS TRANSPORT RESEARCH LABORATORY (TRL, UK), FISAS (NIG), UNIVERSITIES, ETC FOR UPGRADING OF PEUS TO STATE-OF-THE-ART LABORATORIES TRAINING CENT",,ONGOING,,10500000.0,
ERGP12234280,CONSTRUCTION OF KAIAMA-KISHI (KISHI - TESE ROAD) IN OYO/KWARA STATES,,ONGOING,"Oyo, Kwara",9800000000.0,
ERGP12234297,CONSTRUCTION OF OTA -IDIROKO ROAD SECTION 3,,ONGOING,,7700000000.0,
ERGP12234314,CONSTRUCTION/REHABILITATION OF ODUKPANI - ITU - IKOT EKPENE ROAD,,ONGOING,,17500000000.0,
ERGP12234331,"THE CONSTRUCTION OF SANI ABACHA BYE-PASS HARASAWA ROAD IN BIRNIN KEBBI LGA, KEBBI STATE",,ONGOING,Kebbi,315000000.0,
ERGP12234348,"CONSTRUCTION OF BULA BARNAYE -6.00-GARIN GADA BRIDGE 12.05 KM IN YOBE STATE Fmwh/HbdW/2022/Emg/02/1/126,",,ONGOING,Yobe,533386147.0,
ERGP12234365,"LIMITED REHABILITATION OF SELECTED ROADS AT KAKURI, KADUNA STATE Budget Office of the Federation            Page 1182 / 2790                                            2026 FGN BUDGET",,ONGOING,Kaduna,1021757800.0,
ERGP12234382,CONSTRUCTION OF AKE - ROUNDER ABOUT - ERUNWON - ITA MORIN JUNCTION ABEOKUTA SOUTH - 2KM AND IBEKU ROAD YEWA SOUTH LOTS 1&2,,ONGOING,,700000000.0,
ERGP12234533,"REHABILITATION OF IJEBU ODE TECHNOLOGY PARK & TRAINING CENTER, IJEBU ODE AND IGBA OTUN COMMUNITY ILARO, YEWA SOUTH, OGUN WEST LOTS 1&2",,ONGOING,Ogun,700000000.0,
ERGP12234550,"PAYMENT OF OUTSTANDING LIABILITIES ON EXECUTED EMERGENCY REPAIRS OF OOLO BRIDGE (13M), KM.74+265 IN OYO STATE CN/7819",,,Oyo,,
ERGP12234567,"PAYMENT OF OUTSTANDING LIABILITIES ON EXECUTED LTD REHAB,INTERNAL ROAD INONGOING          225,485,856 KANKIA KATSINA STATE CN/7606",,,Katsina,225485856.0,
ERGP12234584,PAYMENT OF OUTSTANDING LIABILITIES ON EXECUTED CONSTRUCTION & REHABILITATION OF KWANAR MANI-DANFAKO-KELEFA-KARARI ROAD IN KANO STATE,,ONGOING,Kano,1042646852.0,
ERGP12234601,"FLOOD CONTROL RECONSTRUCTION OF INNER/ TOWNSHIP ROADS CLOSES IN SURULERE/AGUDA/NGURU AREA, FNRP LAGOS (PHASE 1) (FMWH/HCRW/2022/03/I/336)",,ONGOING,Lagos,1008700000.0,
ERGP12234618,LIMITED REHABILITATION OF ISEYIN IPAJO BASI AGO IN OYO STATE,,ONGOING,Oyo,205013386.0,
ERGP12234635,"CONSTRUCTION OF 8KM ALAYI-UGWUEKE-AKAEZE ROAD (PHASE II) IN BENDE FEDERAL CONSTITUENCY, ABIA STATE.",,ONGOING,Abia,1022273840.0,
ERGP12234655,"CONSTRUCTION OF ISOCARE ROAD AND OLD IKORODU COUNTERPART FUNDING WITHONGOING               556,500,000 LAGOS STATE GOVERNMENT.C/N8608",,,Lagos,556500000.0,
